date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:57	82571/82571	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:42:56%20GMT	https://www.nayrathemes.com/demo/pro/hantus/contact/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/contact/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:57	87336/87336	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:42:57%20GMT	https://www.nayrathemes.com/demo/pro/hantus/portfolio-3-column/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/portfolio-3-column/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:42:57	87195/87195	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:42:57%20GMT	https://www.nayrathemes.com/demo/pro/hantus/portfolio-2-column/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/portfolio-2-column/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:01	112062/112062	---M--	200	added ('OK')	image/jpeg	etag:%2240a0411-1b5be-5a8fc5d584656%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-2.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-2.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:01	87172/87172	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:42:59%20GMT	https://www.nayrathemes.com/demo/pro/hantus/portfolio-4-column/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/portfolio-4-column/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:01	95253/95253	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:42:59%20GMT	https://www.nayrathemes.com/demo/pro/hantus/blog-left-sidebar/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/blog-left-sidebar/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:01	95363/95363	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:00%20GMT	https://www.nayrathemes.com/demo/pro/hantus/blog-right-sidebar/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/blog-right-sidebar/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:03	140273/140273	---M--	200	added ('OK')	image/jpeg	etag:%2240a03fb-223f1-5a8fc95d1485c%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-4.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-4.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:03	87950/87950	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:03%20GMT	https://www.nayrathemes.com/demo/pro/hantus/blog-full-width/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/blog-full-width/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:04	90192/90192	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:04%20GMT	https://www.nayrathemes.com/demo/pro/hantus/gallery/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/gallery/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:05	88986/88986	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:05%20GMT	https://www.nayrathemes.com/demo/pro/hantus/blog-filter/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/blog-filter/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:06	118515/118515	---M--	200	added ('OK')	image/jpeg	etag:%2240a0422-1cef3-5a8fca92135b7%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-5.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-5.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:06	91344/91344	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:06%20GMT	https://www.nayrathemes.com/demo/pro/hantus/shop/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/shop/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:06	82439/82439	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:06%20GMT	https://www.nayrathemes.com/demo/pro/hantus/product-filter/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/product-filter/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:07	134795/134795	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:07%20GMT	https://www.nayrathemes.com/demo/pro/hantus/cart/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/cart/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:07	177327/177327	---M--	200	added ('OK')	image/jpeg	etag:%2240a042d-2b4af-5a8fcb948a8e7%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-6.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-6.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:08	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2014%20Apr%202021%2010:43:08%20GMT	https://www.nayrathemes.com/demo/pro/hantus/checkout/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/checkout/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:08	171483/171483	---M--	200	added ('OK')	image/jpeg	etag:%2240a04ad-29ddb-5a933bce0d080%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-7.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-7.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:08	87207/87207	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2010:43:08%20GMT	https://www.nayrathemes.com/demo/pro/hantus/my-account/	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/my-account/index.html	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:09	184887/184887	---M--	200	added ('OK')	image/jpeg	etag:%2240a04c5-2d237-5a93437077997%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-10.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/uploads/2020/06/slider-10.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
12:43:09	46465/46465	---M--	200	added ('OK')	image/jpeg	etag:%22408b72a-b581-5b6a63259129e%22	https://www.nayrathemes.com/demo/pro/hantus/wp-content/themes/hantus-pro/assets/images/icons/icon01.jpg	C:/Mis%20lugares%20Web/Hantus/www.nayrathemes.com/demo/pro/hantus/wp-content/themes/hantus-pro/assets/images/icons/icon01.jpg	(from https://www.nayrathemes.com/demo/pro/hantus/)
